1.65899,4.28514,1
-3.45369,3.42432,2
4.83814,-1.15153,0
-5.37971,-3.3621,3
0.972564,2.92409,1
-3.56792,1.53161,2
0.450614,-3.30221,0
-3.4871,-1.72443,3
2.66876,1.59484,1
-3.15649,3.19114,2
3.16551,-3.99983,0
-2.78684,-3.09935,3
4.20819,2.98493,1
-2.12334,2.94337,2
0.704199,-0.47948,0
-0.39237,-3.9637,3
2.83167,1.57402,1
-0.790153,3.34314,2
2.9435,-3.35707,0
-3.19588,-2.28393,3
2.33645,2.87511,1
-1.78635,2.55425,2
2.1901,-1.90602,0
-3.40337,-2.77829,3
1.77812,3.88083,1
-1.68835,2.23027,2
2.59298,-2.05436,0
-4.00726,-3.20707,3
2.25773,3.38756,1
-2.67901,0.785119,2
0.939512,-4.02356,0
-3.67442,-2.26108,3
2.04626,2.73528,1
-3.18947,1.78027,2
4.37265,-0.82224,0
-2.57932,-3.49758,3
1.88903,5.1904,1
-0.798747,2.18559,2
2.83652,-2.65855,0
-3.83788,-3.25381,3
2.0967,3.88601,1
-2.70903,2.92389,2
3.36704,-3.18478,0
-2.12148,-4.23259,3
2.32955,3.17976,1
-3.28482,3.2731,2
3.09141,-3.81523,0
-3.76209,-2.43219,3
3.54206,2.77883,1
-1.73682,4.24104,2
2.12707,-2.98368,0
-4.32382,-3.93812,3
3.79212,5.13577,1
-4.78647,3.35855,2
2.62408,-3.26071,0
-4.0093,-2.97812,3
2.49353,1.96371,1
-2.51366,2.64216,2
1.86437,-3.1763,0
-3.17118,-3.57245,3
2.89422,2.48913,1
-2.56254,2.88444,2
3.49108,-3.94748,0
-2.56573,-2.01211,3
3.33295,3.9831,1
-1.6168,3.57319,2
2.28062,-2.55944,0
-2.65123,-3.1032,3
2.32139,3.15499,1
-1.6857,2.9397,2
3.03101,-3.62025,0
-4.59962,-2.18583,3
4.19622,1.12668,1
-2.13386,3.09369,2
4.66889,-2.5627,0
-2.79324,-2.14971,3
2.8841,3.04344,1
-2.96765,2.8487,2
4.47933,-1.76477,0
-4.90557,-2.91107,3
